height,allInterlinks,validInterlinks,missingPtrs
1257603,0,0,-1
1257604,1,24,-1
1257605,1,24,-1
1257606,2,24,-1
1257607,3,24,-1
1257608,1,24,-1
1257609,1,24,-1
1257610,1,24,-1
1257611,1,24,-1
1257612,1,25,-1
1257613,2,25,-1
1257614,1,27,-1
1257615,2,27,-1
1257616,3,27,-1
1257617,2,27,-1
1257618,3,27,-1
1257619,3,27,-1
1257620,4,27,-1
1257621,2,27,-1
1257622,3,27,-1
1257623,3,27,-1
1257624,3,27,-1
1257625,3,27,-1
1257626,2,27,-1
1257627,3,27,-1
1257628,4,27,-1
1257629,4,27,-1
1257630,3,27,-1
1257631,4,27,-1
1257632,4,27,-1
1257633,5,27,-1
1257634,3,27,-1
1257635,2,27,-1
1257636,1,27,-1
1257637,2,27,-1
1257638,2,27,-1
1257639,2,27,-1
1257640,3,27,-1
1257641,4,27,-1
1257642,3,27,-1
1257643,2,27,-1
1257644,2,27,-1
1257645,2,27,-1
1257646,3,27,-1
1257647,3,27,-1
1257648,3,27,-1
1257649,3,27,-1
1257650,3,27,-1
1257651,4,27,-1
1257652,4,27,-1
1257653,3,27,-1
1257654,3,27,-1
1257655,4,27,-1
1257656,4,27,-1
1257657,4,27,-1
1257658,2,27,-1
1257659,3,27,-1
1257660,4,27,-1
1257661,3,27,-1
1257662,1,30,-1
1257663,2,30,-1
1257664,2,30,-1
1257665,3,30,-1
1257666,2,30,-1
1257667,3,30,-1
1257668,2,30,-1
1257669,3,30,-1
1257670,3,30,-1
1257671,3,30,-1
1257672,4,30,-1
1257673,4,30,-1
1257674,4,30,-1
1257675,5,30,-1
1257676,5,30,-1
1257677,6,30,-1
1257678,4,30,-1
1257679,5,30,-1
1257680,6,30,-1
1257681,5,30,-1
1257682,6,30,-1
1257683,2,30,-1
1257684,3,30,-1
1257685,4,30,-1
1257686,3,30,-1
1257687,4,30,-1
1257688,5,30,-1
1257689,4,30,-1
1257690,4,30,-1
1257691,2,30,-1
1257692,3,30,-1
1257693,4,30,-1
1257694,3,30,-1
1257695,3,30,-1
1257696,4,30,-1
1257697,3,30,-1
1257698,4,30,-1
1257699,5,30,-1
1257700,4,30,-1
1257701,4,30,-1
1257702,5,30,-1
1257703,5,30,-1
1257704,5,30,-1
1257705,6,30,-1
1257706,5,30,-1
1257707,5,30,-1
1257708,2,30,-1
1257709,3,30,-1
1257710,3,30,-1
1257711,3,30,-1
1257712,4,30,-1
1257713,5,30,-1
1257714,3,30,-1
1257715,2,30,-1
1257716,3,30,-1
1257717,3,30,-1
1257718,2,30,-1
1257719,3,30,-1
1257720,3,30,-1
1257721,3,30,-1
1257722,3,30,-1
1257723,3,30,-1
1257724,4,30,-1
1257725,5,30,-1
1257726,4,30,-1
1257727,5,30,-1
1257728,5,30,-1
1257729,4,30,-1
1257730,2,30,-1
1257731,3,30,-1
1257732,4,30,-1
1257733,5,30,-1
1257734,4,30,-1
1257735,4,30,-1
